slug,name
opensourcedesign,Open Source Design
pnpm,pnpm
futurovegetal-resistencia,Futuro Vegetal - Caja de Resistencia
beehaw,[MOVED TO Open Collective Europe Foundation] Beehaw
edgetx,EdgeTX
plsn_nyc,Prison Library Support Network
octobox,Octobox
worcestercommunityfridges,Worcester Community Fridges
meshtastic,Meshtastic
the-love-fridge,The Love Fridge
laradock,Laradock
pfonds,PFOndS
panda3d,Panda3D
ampalibe,Ampalibe
floating-ui,Floating UI
ngrx,ngrx
gulpjs,gulp
roslindale-community-fridge,The Roslindale Community Fridge
regolith,Regolith
swc,swc
ponyc,Pony
grapesjs,GrapesJS
offensiveeco,L'Offensive
workers-for-a-free-palestine,Workers for a Free Palestine
f-droid-euro,F-Droid (€)
cgn-federated-services,CGN Federated Services
southern-solidarity,Southern Solidarity
mutual-interest-media,Mutual Interest Media
nivenly-foundation,Nivenly Foundation
hope-fridge,Hope Fridge
openapi_generator,OpenAPI Generator
solidus,Solidus
firefish,Firefish
germantown-community-fridge,Germantown Community Fridges
stride3d,Stride Game Engine
pixijs,PixiJS - The HTML5 Creation Engine.
koinonia,Koinonia Mutual Aid
loving,Loving Black Single Mothers
mollyim,Molly
openframeworks,openFrameworks
cucumber,Cucumber
prowlarr,Prowlarr
fffita,Fridays For Future Italia
wwcode,Women Who Code
discordpy,discord.py
de-kat,"Thomas ""De Kat"" Goorden"
nycms,NYC Migrant Solidarity
publii,Publii
lurk,LURK
openmined,OpenMined
rootsunbound,Roots Unbound
mautic,Mautic
atx-free-fridge-project,ATX Free Fridge Project
libreelec,LibreELEC
rogers-park-fnb,Rogers Park Food Not Bombs
carbon,Carbon
nix-macos,Nix 🖤 macOS
siduction-eu,siduction (EU)
freedom-street-health,Freedom Street Health
antennapod,AntennaPod
anartist,Anartist.org
twohoursonelife,Two Hours One Life
tidalcycles,TidalCycles
therhizomehousesolidarityfund,The Rhizome House
typegraphql,TypeGraphQL
climateaction-tech,ClimateAction.tech
gitextensions,gitextensions
owncast,Owncast
emacs-lsp,Emacs Language Server Protocol Client
lwjgl,LWJGL
courtbouillon,CourtBouillon
sixlabors,Six Labors
xstate,XState
electron,electron
xr-deutschland,Extinction Rebellion (XR) Deutschland
celery,Celery
sindresorhus,Sindre Sorhus
policestationresponseteam,Chicago Police Station Response Team
intellij-rainbow-brackets,Intellij Rainbow Brackets
caprover,CapRover
mixxx,Mixxx DJ Software
redux-devtools-extension,Redux DevTools
adnauseam,AdNauseam
libreops,LibreOps
interruptorpt,Interruptor
cooperation-tulsa,Cooperation Tulsa
cyclejs,Cycle.js
little-read-books,Little Read Books
hogaid,HOGAID
dlang,dlang
freecad,FreeCAD
editorjs,Editor.js
banjo-reclamation-project,Black Banjo Reclamation Project
ancientbeast,Ancient Beast 🐺
unified,unified
vcr,VCR
openscad,OpenSCAD
hledger,hledger
elswicksolidarityfund,Elswick Solidarity Fund
reactiveui,ReactiveUI
newschoolmutualaidfund,The New School Mutual Aid Fund
lastreetcare,LA Street Care
omstallningsvanner,Omställningsnätverkets vänner
red-hook-bk-mutual-aid,Red Hook Mutual Aid
nativescript,NativeScript
web-scrobbler,Web Scrobbler
atx-mental-health-fund,ATX Mental Health Fund
weg-li,weg.li
funkwhale,Funkwhale
the-gleaners,The Gleaners
xrpl-adopt-a-node,XRPL Labs: Adopt an XRP Ledger node
wpbmutualaid,Wicker Park Bucktown Mutual Aid
mstdnparty,mstdn.party
south-bronx-mutual-aid,South Bronx Mutual Aid
osarch,OSArch - Open Source in AEC
urbanistssocial,Urbanists.Social
woodbinestrength,Woodbine Strength
caledonian-barnsbury-covidma,Caledonian & Barnsbury Wards Covid Mutual Aid
goreleaser,goreleaser
warzone2100,Warzone 2100
grc-activation-team,GRC Activation Team
husky,Husky
manjaro-arm,Manjaro ARM
spec,Sustainable Progress and Equality Collective (SPEC)
cocnvim,Coc.nvim
postcss,PostCSS and Autoprefixer
metamask,MetaMask
the-a11y-project,The A11Y Project
littlepetalalliance,Little Petal Alliance
xgboost,DMLC/XGBoost
scientifiques-en-rebellion,Scientifiques en rébellion
the-rockstor-project,The Rockstor Project
react-hook-form,React Hook Form
rockymountainmutualaid,Rocky Mountain Mutual Aid Network (RMMAN)
schoolsabc,Schools ABC
mudblazor,MudBlazor
turf,TurfJS
readarr,Readarr
tarkov-dev,Tarkov Development Community
signalk,Signal K
glasgow-mutual-aid,Glasgow Mutual Aid
f12-peoples-kitchen,F12 People's Kitchen
asyncapi,AsyncAPI Initiative
palms-unhoused-mutual-aid,Palms Unhoused Mutual Aid
sovereign-bodies-institute,Sovereign Bodies Institute
pug,pug
gsocnyu,Hardship Solidarity Fund supporting NYU Student Workers
irving-park-mutual-aid,Irving Park Mutual Aid
alerteplanete-xr,Alerte Planete - XR
localstack,LocalStack
sleights-fc-under-11s,Sleights FC Under 11s
xfce,Xfce
pytest,pytest
mvvmcross,MvvmCross
prismlauncher,Prism Launcher
evanston-fight-for-black-lives,Evanston Fight for Black Lives
icosa,Icosa Foundation
serverest,ServeRest
php_codesniffer,PHP CodeSniffer
rvm,RVM
buddies-of-budgie,Buddies of Budgie
react-three-fiber,react-three-fiber
uptime-kuma,Uptime Kuma
stlmutualaid,STL Mutual Aid
ddosecrets,Distributed Denial of Secrets
webdriverio,WebdriverIO
fedibird-project,Fedibird Project
the-emergence-network,ten (The Emergence Network)
nix-community,Nix Community
kollektiv-email,Kollektiv Email
